Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Thelephora	0.985	0.8918	400	Thelephora	0.985	0.8918	400	497	25	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tomentella	0.977	0.6101	400	All	0.991	0.8232	400	492	98	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cystoderma	0.987	0.8586	400	Cystoderma	0.987	0.8586	400	165	19	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lactarius	0.989	0.8471	400	Lactarius	0.989	0.8471	400	2630	292	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tricholoma	0.984	0.8706	400	Tricholoma	0.984	0.8706	400	1721	105	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Pyrenopeziza	0.974	0.9103	400	Pyrenopeziza	0.974	0.9103	400	67	18	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lachnum	0.973	0.7997	400	All	0.991	0.8232	400	154	39	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Peziza	0.973	0.8155	400	All	0.991	0.8232	400	347	61	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tarzetta	0.953	0.8591	400	Tarzetta	0.953	0.8591	400	60	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Sebacina	0.964	0.7402	400	All	0.991	0.8232	400	146	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Polyozellus	0.992	0.8805	400	Polyozellus	0.992	0.8805	400	111	22	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hydnellum	0.991	0.843	400	Hydnellum	0.991	0.843	400	434	43	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lachnellula	0.99	0.735	400	All	0.991	0.8232	400	61	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Mollisia	0.977	0.7589	400	All	0.991	0.8232	400	162	40	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calycina	0.994	0.9308	400	Calycina	0.994	0.9308	400	40	22	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hymenoscyphus	0.976	0.9454	400	Hymenoscyphus	0.976	0.9454	400	670	45	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Menegazzia	0.972	0.8727	400	Menegazzia	0.972	0.8727	400	33	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Chaenotheca	0.962	0.8199	400	All	0.991	0.8232	400	111	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Bacidia	0.982	0.8736	400	Bacidia	0.982	0.8736	400	136	45	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Nephroma	0.944	0.7941	400	All	0.991	0.8232	400	272	23	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Ramalina	0.987	0.7798	400	All	0.991	0.8232	400	700	101	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Russula	0.986	0.8285	400	Russula	0.986	0.8285	400	3200	435	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Laccaria	0.98	0.7093	400	All	0.991	0.8232	400	333	43	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Xerocomellus	0.981	0.9325	400	Xerocomellus	0.981	0.9325	400	235	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Inocybe	0.987	0.8009	400	All	0.991	0.8232	400	2583	531	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hygrophorus	0.984	0.855	400	Hygrophorus	0.984	0.855	400	602	88	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hebeloma	0.993	0.6465	400	All	0.991	0.8232	400	1518	123	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hydnum	0.988	0.8978	400	Hydnum	0.988	0.8978	400	397	43	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cortinarius	0.992	0.8739	400	Cortinarius	0.992	0.8739	400	4998	907	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Amanita	0.985	0.7844	400	All	0.991	0.8232	400	3193	366	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Scleroderma	0.979	0.9335	400	Scleroderma	0.979	0.9335	400	478	24	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Craterellus	0.973	0.815	400	All	0.991	0.8232	400	162	22	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Xerocomus	0.97	0.9509	400	Xerocomus	0.97	0.9509	400	155	27	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Boletus	0.99	0.935	400	Boletus	0.99	0.935	400	677	103	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Elaphomyces	0.991	0.8999	400	Elaphomyces	0.991	0.8999	400	143	35	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Genea	0.917	0.8068	400	All	0.991	0.8232	400	203	26	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hydnotrya	0.978	0.9933	400	Hydnotrya	0.978	0.9933	400	76	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tuber	0.98	0.9068	400	Tuber	0.98	0.9068	400	2100	130	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Aureonarius	0.98	0.984	400	Aureonarius	0.98	0.984	400	98	16	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Thaxterogaster	0.992	0.8654	400	Thaxterogaster	0.992	0.8654	400	547	89	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Phlegmacium	0.994	0.8763	400	Phlegmacium	0.994	0.8763	400	769	175	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calonarius	0.995	0.9429	400	Calonarius	0.995	0.9429	400	786	105	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Morchella	0.994	0.8267	400	Morchella	0.994	0.8267	400	305	30	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lactifluus	0.969	0.8595	400	Lactifluus	0.969	0.8595	400	841	180	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Chalciporus	0.937	0.8219	400	All	0.991	0.8232	400	68	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Aureoboletus	0.958	0.954	400	Aureoboletus	0.958	0.954	400	88	27	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hygrocybe	0.964	0.7854	400	All	0.991	0.8232	400	647	88	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hodophilus	0.986	0.8662	400	Hodophilus	0.986	0.8662	400	160	25	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Entoloma	0.992	0.8678	400	Entoloma	0.992	0.8678	400	2036	462	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calocybe	0.936	0.9625	400	Calocybe	0.936	0.9625	400	97	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Leucopaxillus	0.925	0.8921	400	Leucopaxillus	0.925	0.8921	400	82	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Pseudosperma	0.978	0.8782	400	Pseudosperma	0.978	0.8782	400	157	49	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Inosperma	0.982	0.8072	400	All	0.991	0.8232	400	158	45	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Mallocybe	0.99	0.834	400	Mallocybe	0.99	0.834	400	147	37	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Butyriboletus	0.987	0.9411	400	Butyriboletus	0.987	0.9411	400	164	24	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Suillus	0.989	0.8916	400	Suillus	0.989	0.8916	400	1133	49	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gyroporus	0.928	0.8166	400	All	0.991	0.8232	400	110	22	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
