Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	max proportion	fasta filename	classification filename
species	Cytospora	0.987	0.9509	228	26	50	0.1648	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fusarium	0.7	0.9696	2284	24	50	0.2417	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tyromyces	0.902	0.9517	56	11	50	0.4416	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Inocybe	0.983	0.8197	1187	391	50	0.0295	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Aspergillus	0.988	0.9159	1931	125	50	0.1624	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Colletotrichum	0.7	0.9305	1741	26	50	0.2599	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tuber	0.966	0.8813	1334	114	50	0.1757	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Thelephora	0.987	0.8953	219	18	50	0.3077	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Acremonium	0.964	0.918	309	39	50	0.2815	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Vararia	0.943	0.9526	76	39	50	0.0921	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cladosporium	0.7	0.9625	644	10	50	0.3537	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pyrenophora	0.985	0.9229	179	14	50	0.2321	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Coniochaeta	0.987	0.761	134	41	50	0.1272	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Erysiphe	0.989	0.8205	679	170	50	0.0607	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Diaporthe	0.985	0.9124	561	67	50	0.1344	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Russula	0.984	0.8043	1758	362	50	0.022	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Talaromyces	0.988	0.8658	525	78	50	0.1276	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sanghuangporus	0.975	0.8533	118	10	50	0.3023	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hebeloma	0.988	0.7359	453	87	50	0.0676	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tomentella	0.967	0.6962	235	63	50	0.1148	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Plenodomus	0.979	0.9302	134	20	50	0.3595	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Penicillium	0.99	0.9158	918	104	50	0.0814	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pichia	0.893	0.9276	686	20	50	0.5349	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sarocladium	0.977	0.8029	226	12	50	0.2958	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Steccherinum	0.966	0.8797	178	25	50	0.3623	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lophodermium	0.965	0.7741	253	35	50	0.1603	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Claviceps	0.985	0.8897	149	32	50	0.4772	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Alternaria	0.983	0.9208	1677	58	50	0.3797	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cortinarius	0.991	0.8581	1677	545	50	0.0115	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Crepidotus	0.985	0.8519	153	48	50	0.1726	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cadophora	0.985	0.9585	151	16	50	0.3519	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Entoloma	0.987	0.8351	1120	355	50	0.0264	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Psathyrella	0.99	0.8037	534	181	50	0.0295	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Curvularia	0.975	0.8707	508	36	50	0.3183	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dipodascus	0.703	0.9833	67	15	50	0.5972	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Metarhizium	0.959	0.9533	656	23	50	0.6621	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Neocosmospora	0.982	0.9198	157	15	50	0.7821	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Helvella	0.974	0.8496	258	69	50	0.0886	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Stagonospora	0.983	0.7685	73	22	50	0.4459	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lycoperdon	0.987	0.7881	229	22	50	0.1861	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cercospora	0.994	0.9484	220	18	50	0.3735	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Peniophora	0.99	0.7165	216	39	50	0.1827	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Thelidium	0.983	0.8656	37	13	50	0.1892	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Nectria	0.975	0.9264	104	31	50	0.2917	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Scleroderma	0.977	0.8837	301	22	50	0.1915	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Calonarius	0.987	0.9219	423	91	50	0.0382	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Arrhenia	0.978	0.839	122	28	50	0.1007	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Didymella	0.972	0.9013	172	14	50	0.2709	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Inonotus	0.974	0.8138	219	37	50	0.1783	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Geastrum	0.975	0.7866	289	72	50	0.1413	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pyricularia	0.975	0.971	304	12	50	0.7031	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pestalotiopsis	0.982	0.9223	177	13	50	0.2218	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Typhula	0.964	0.8674	149	18	50	0.56	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clavulina	0.963	0.7739	143	38	50	0.2169	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Papiliotrema	0.975	0.8877	131	13	50	0.3911	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lecidea	0.97	0.7738	255	41	50	0.1622	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Bipolaris	0.976	0.9245	452	10	50	0.3429	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ramalina	0.978	0.7718	302	82	50	0.1223	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Candida	0.966	0.956	2128	168	50	0.4279	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Xanthoparmelia	0.986	0.6856	302	113	50	0.0759	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Peltigera	0.986	0.7439	579	53	50	0.0863	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ceratocystis	0.975	0.8584	545	27	50	0.3424	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Orbilia	0.972	0.8431	531	200	50	0.1735	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Morchella	0.984	0.8003	218	25	50	0.124	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tricholoma	0.984	0.8564	897	83	50	0.07	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Trichoderma	0.984	0.9391	1912	74	50	0.2207	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Agaricus	0.989	0.8851	803	194	50	0.0626	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phyllosticta	0.984	0.9298	707	69	50	0.3985	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Bulbothrix	0.989	0.8294	59	19	50	0.2203	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Trametes	0.988	0.9528	415	19	50	0.2822	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Amanita	0.985	0.7874	1695	319	50	0.0564	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hypotrachyna	0.979	0.7626	127	50	50	0.0718	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pucciniastrum	0.988	0.9394	47	16	50	0.1667	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tulasnella	0.961	0.9217	291	26	50	0.299	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hypomyces	0.985	0.8296	271	58	50	0.1873	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Nagrajchalara	0.984	0.8608	40	32	50	0.0976	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Endocarpon	0.982	0.7197	74	11	50	0.4342	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sclerotinia	0.975	0.9615	292	10	50	0.8121	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dothiorella	0.994	0.842	60	17	50	0.1849	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ganoderma	0.987	0.825	296	18	50	0.137	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Puccinia	0.982	0.8507	906	107	50	0.2122	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Neofusicoccum	0.979	0.9675	483	10	50	0.4449	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chaetomium	0.986	0.917	598	28	50	0.6112	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Nothophoma	0.993	0.9126	49	10	50	0.6333	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Thyronectria	0.981	0.8972	48	18	50	0.0761	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Melanoleuca	0.992	0.829	123	35	50	0.0681	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sticta	0.987	0.9134	285	87	50	0.0669	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Scutellinia	0.981	0.7144	70	21	50	0.1616	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Coniella	0.991	0.85	108	17	50	0.2258	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Mycena	0.99	0.8001	517	119	50	0.092	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Nigrograna	0.994	0.8081	33	17	50	0.2353	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Panaeolus	0.986	0.8067	88	10	50	0.3094	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Skeletocutis	0.99	0.8609	186	26	50	0.1678	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
