Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
genus	Cortinariaceae	0.932	0.3934	50	All	0.965	0.4825	50	2413	16	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Russulaceae	0.961	0.6043	50	Russulaceae	0.961	0.6043	50	3193	12	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Nectriaceae	0.986	0.4494	50	All	0.965	0.4825	50	5195	74	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Gymnoascaceae	0.977	0.659	50	Gymnoascaceae	0.977	0.659	50	183	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Aspergillaceae	0.986	0.6035	50	Aspergillaceae	0.986	0.6035	50	2256	24	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Mortierellaceae	0.903	0.5843	50	Mortierellaceae	0.903	0.5843	50	1505	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pleosporaceae	0.985	0.6785	50	Pleosporaceae	0.985	0.6785	50	4193	27	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Cordycipitaceae	0.977	0.5147	50	Cordycipitaceae	0.977	0.5147	50	2705	26	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Bionectriaceae	0.971	0.5804	50	Bionectriaceae	0.971	0.5804	50	2730	52	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Ramalinaceae	0.966	0.5273	50	Ramalinaceae	0.966	0.5273	50	1285	37	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Peniophoraceae	0.917	0.6891	50	Peniophoraceae	0.917	0.6891	50	838	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Dothideomycetes_fam_Incertae_sedis	0.889	0.8568	50	Dothideomycetes_fam_Incertae_sedis	0.889	0.8568	50	510	38	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Sporocadaceae	0.988	0.6874	50	Sporocadaceae	0.988	0.6874	50	2147	35	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Erysiphaceae	0.98	0.5545	50	Erysiphaceae	0.98	0.5545	50	2227	27	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Diaporthaceae	0.942	0.693	50	Diaporthaceae	0.942	0.693	50	1429	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Hymenochaetaceae	0.951	0.538	50	Hymenochaetaceae	0.951	0.538	50	3278	43	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
